time,(LX)
"21,250,000.00","49,499,740,000"
"21,300,000.00","49,493,810,000"
"21,350,000.00","49,490,450,000"
"21,400,000.00","49,498,750,000"
"21,450,000.00","49,493,320,000"
"21,500,000.00","49,499,050,000"
"21,550,000.00","49,495,190,000"
"21,600,000.00","49,494,900,000"
"21,650,000.00","49,492,820,000"
"21,700,000.00","49,490,750,000"
"21,750,000.00","49,493,510,000"
"21,800,000.00","49,493,020,000"
"21,850,000.00","49,487,290,000"
"21,900,000.00","49,488,180,000"
"21,950,000.00","49,488,180,000"
"22,000,000.00","49,490,250,000"
"22,050,000.00","49,488,970,000"
"22,100,000.00","49,493,610,000"
"22,150,000.00","49,491,640,000"
"22,200,000.00","49,483,040,000"
"22,250,000.00","49,490,850,000"
"22,300,000.00","49,476,430,000"
"22,350,000.00","49,488,970,000"
"22,400,000.00","49,490,450,000"
"22,450,000.00","49,487,290,000"
"22,500,000.00","49,484,920,000"
"22,550,000.00","49,481,660,000"
"22,600,000.00","49,485,510,000"
"22,650,000.00","49,483,540,000"
"22,700,000.00","49,486,300,000"
"22,750,000.00","49,484,530,000"
"22,800,000.00","49,487,590,000"
"22,850,000.00","49,488,570,000"
"22,900,000.00","49,485,610,000"
"22,950,000.00","49,489,270,000"
"23,000,000.00","49,491,540,000"
"23,050,000.00","49,493,120,000"
"23,100,000.00","49,501,320,000"
"23,150,000.00","49,500,430,000"
"23,200,000.00","49,487,490,000"
"23,250,000.00","49,487,090,000"
"23,300,000.00","49,485,120,000"
"23,350,000.00","49,499,240,000"
"23,400,000.00","49,492,530,000"
"23,450,000.00","49,493,020,000"
"23,500,000.00","49,489,960,000"
"23,550,000.00","49,495,090,000"
"23,600,000.00","49,488,380,000"
"23,650,000.00","49,495,880,000"
"23,700,000.00","49,506,650,000"
"23,750,000.00","49,496,580,000"
"23,800,000.00","49,502,110,000"
"23,850,000.00","49,506,750,000"
"23,900,000.00","49,501,220,000"
"23,950,000.00","49,507,740,000"
"24,000,000.00","49,507,940,000"
"24,050,000.00","49,505,370,000"
"24,100,000.00","49,502,500,000"
"24,150,000.00","49,503,290,000"
"24,200,000.00","49,502,400,000"
"24,250,000.00","49,501,020,000"
"24,300,000.00","49,493,220,000"
"24,350,000.00","49,503,190,000"
"24,400,000.00","49,503,100,000"
"24,450,000.00","49,502,900,000"
"24,500,000.00","49,499,340,000"
"24,550,000.00","49,500,630,000"
"24,600,000.00","49,503,790,000"
"24,650,000.00","49,505,960,000"
"24,700,000.00","49,502,900,000"
"24,750,000.00","49,510,410,000"
"24,800,000.00","49,501,610,000"
"24,850,000.00","49,497,560,000"
"24,900,000.00","49,490,750,000"
"24,950,000.00","49,501,520,000"
"25,000,000.00","49,501,120,000"
"25,050,000.00","49,499,640,000"
